idArticulo,nombreIdArticulo,idAreaCon
b4b91a035da84f,CLS_SA_007_0123,ef82823b455f44
567717b026be40,CLS_SA_007_0286,ef82823b455f44
ea8485b7e1dd44,CLS_SA_007_0203,ef82823b455f44
86ef2968667640,CLS_SA_007_0206,ef82823b455f44
8d5367ed8da448,CLS_SA_007_0185,a132c419e4c146
6d2205462c7845,CLS_SA_007_0103,ef82823b455f44
fb07cf0f9d8d49,CLS_SA_007_0221,ef82823b455f44
88ce2aacca9c45,CLS_SA_007_0040,ef82823b455f44
1f128b7dd9ea49,CLS_SA_007_0228,ef82823b455f44
e96d2bb9e07e46,CLS_SA_007_0121,ef82823b455f44
50bebecca4d247,CLS_SA_007_0138,ef82823b455f44
c5f49ca5e42046,CLS_SA_007_0190,ef82823b455f44
aca50978667a4e,CLS_SA_007_0171,ef82823b455f44
cddfd3ee061544,CLS_SA_007_0117,ef82823b455f44
12cd635d9ea942,CLS_SA_007_0179,ef82823b455f44
2f2022f2b7c34a,CLS_SA_007_0102,ef82823b455f44
952a9ec506ad4b,CLS_SA_007_0135,ef82823b455f44
8ed6cc47ef8f49,CLS_SA_007_0280,ef82823b455f44
69d3943e448f4f,CLS_SA_007_0279,ef82823b455f44
8f8acebaf44241,CLS_SA_007_0209,ef82823b455f44
800a90c8bdb94c,CLS_SA_007_0127,ef82823b455f44
41507c6c5a3944,CLS_SA_007_0150,ef82823b455f44
615c82fe868b44,CLS_SA_007_0205,ef82823b455f44
f77d410480514e,CLS_SA_007_0109,ef82823b455f44
26f5829d84264f,CLS_SA_007_0101,ef82823b455f44
25baf413721240,CLS_SA_007_0066,ef82823b455f44
a179aa7d4bfd4a,CLS_SA_007_010,ef82823b455f44
13a88be3466041,CLS_SA_007_0174,ef82823b455f44
7d94f3e1c5ae4f,CLS_SA_007_0105,ef82823b455f44
c83421ded5b44c,CLS_SA_007_0184,ef82823b455f44
0c7d6dd1905c4c,CLS_SA_007_0005,ef82823b455f44
88287c5d285842,CLS_SA_007_0095,ef82823b455f44
1624ae39679d4d,CLS_SA_007_0177,ef82823b455f44
3998f82a0cac44,CLS_SA_007_0168,ef82823b455f44
efec15f994d942,CLS_SA_007_0175,ef82823b455f44
f86e51dc1ba84d,CLS_SA_007_0083,ef82823b455f44
4315139f3d1d4d,CLS_SA_007_0250,ef82823b455f44
df7e5f6f81f945,CLS_SA_007_0166,ef82823b455f44
e56221b51fa045,CLS_SA_007_0110,ef82823b455f44
206de53b9ed74c,CLS_SA_007_0181,1ac3f0b2f1a042
c2b3eb4824374d,CLS_SA_007_0145,ef82823b455f44
b889b8edef6243,CLS_SA_007_0081,ef82823b455f44
6aad9358bd3446,CLS_SA_007_0222,ef82823b455f44
03c3ee54d38440,CLS_SA_007_0284,ef82823b455f44
91e9694ebe6945,CLS_SA_007_0164,ef82823b455f44
323875f067094c,CLS_SA_007_0275,ef82823b455f44
7a3ff2c9217b43,CLS_SA_007_0230,ef82823b455f44
47a09ab67ae043,CLS_SA_007_0251,ef82823b455f44
9131b2e6859b4b,CLS_SA_007_0201,ef82823b455f44
3755699132ba4d,CLS_SA_007_0309,ef82823b455f44
312f7fa973984b,CLS_SA_007_0207,ef82823b455f44
c667919c43964c,CLS_SA_007_0111,ef82823b455f44
46b0bbfc57204b,CLS_SA_007_0276,ef82823b455f44
b20c9b5410a847,CLS_SA_007_0157,ef82823b455f44
5dd5b0a63f314d,CLS_SA_007_0210,ef82823b455f44
c3643787c3d844,CLS_SA_007_0037,ef82823b455f44
018c2f8d54e54d,CLS_SA_007_0149,ef82823b455f44
0e9ef31ec2d446,SUM_SA_005_0263,385fbe0340c64f
a2762601315e40,SUM_SA_005_0038,99143997724d47
e62fb9afd5de40,CEM_SA_005_0060,fa821670c9eb48
6c479c1f394248,SUM_SA_005_0044,9c47a6932ee64b
49eb42c0591f42,SUM_SA_005_0291,9c47a6932ee64b
9cec15549e3b44,SUM_SA_005_0217,bdd1287a449644
9f1c8ae902034c,SUM_SA_005_0095,e89118a85b7848
e71198494d3b45,SUM_SA_005_0332,071b4c8a04e740
0982483f531f44,SUM_SA_005_0299,071b4c8a04e740
60118e6f62de42,SUM_SA_005_0333,071b4c8a04e740
dd93f0d03f424e,SUM_SA_005_0069,b7f1bf97db094e
3c7042fc78384f,CLS_SA_005_0031,b7f1bf97db094e
af81d50eb00647,SUM_SA_005_0316,071b4c8a04e740
38d007b4c6504e,SUM_SA_005_0281,c2b93553cdb641
f45c2476e41a4c,SUM_SA_005_0054,d0a7c1db33234f
8dbc7122aa4f4d,SUM_SA_005_0361,071b4c8a04e740
a4277b5ee6cc4b,CEM_SA_005_0061,fa821670c9eb48
6becd81184a74b,SUM_SA_005_0227,73c5ca184fbf43
1ab1e2ff758e4b,SUM_SA_005_0292,bdd1287a449644
1a47fcc01db64f,ODI_SA_005_0012,9c47a6932ee64b
4cb2b8f1e96342,CEM_SA_005_0056,0
2e3ad7f9fee746,SUM_SA_005_0030,9c47a6932ee64b
dd37aebe32b542,CEM_SA_005_0050,9c47a6932ee64b
191d7e0e186c4e,SUM_SA_005_0259,21fcc9f1db9449
0c275845b22b47,SUM_SA_005_0245,6c8313a36c4d49
e6a7b5bb57c34c,SUM_SA_005_0262,9b271fa290684b
3c5b68bae98f47,SUM_SA_005_0255,9c47a6932ee64b
aac7cb9d5ae14b,SUM_SA_005_0392,bdd1287a449644
677e17bcc58145,ODI_SA_005_0026,9c47a6932ee64b
e3da72f9940d47,CEM_SA_005_0059,b8da3ffa6b1645
3966b50e6c0745,SUM_SA_005_0201,2602de7301204f
