idCompania,nombre,ubicacionC
efff049730a74e,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),fb9fd780a52c46
c4d22330f9304c,ENERBIT S.A.S. E.S.P. (CLS-CO11),fb9fd780a52c46
a22a1838413f41,TERMOELECTRICA EL TESORITO S.A.S E.S.P (CLS-CO10),fb9fd780a52c46
b9e858dc6c1447,FUNDACION CELSIA COLOMBIA (CLS-CO09),fb9fd780a52c46
9bf7387a56d04c,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),70a57cbe741343
30abb956e63a47,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),e566b44ac8b848
d7c7f6ed1a9748,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),02db13a443034c
55ae41e108da49,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),8ed21a0a6fdb42
90e1bdb0b92249,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),3d19429c2ee74f
bece675b7c1242,CELSIA S.A (CLS-CO01),fb9fd780a52c46
8e5519e6334346,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),4b7153f74dd64f
277ac1bae2dd4d,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),4185a1fdb58c44
7c62e6e61b7945,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),4f9a8a06d58846
f49e305d615240,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),744a823c8e0842
0c293154b3014f,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),d5b85aeb4c2947
500ec465816c4e,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),98ee754473ee40
594a8956e0834d,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),69ff8d05dc0f4c
0dea8aad256e41,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),7ea60e5e87f341
eda2b4a0cb7349,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),71822aac575646
deb148e963e045,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),f2efe83df36149
ae8c33bbd02c40,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),4af9baae9ef643
39681f22f4564d,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),66f68ccf85744c
876271709df647,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),aee6614e08b94c
9c45683db62d49,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),18d46eeacfec4b
d7393b44f70a47,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),5d674c02a4ef4e
0be370cd6efe4e,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),c7e3de47e61e4c
93fee73d8a9044,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),c1329cdf40d24d
99e0d68f96b945,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),d7033db35d6d47
6152aad6972749,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),4b6c3885afd14c
6d7d1e10ed5a4e,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),26bd53e3f29249
971081dde1d049,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),be84770348e14e
45d0db27858f47,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),1049067df26942
0809a0e057e04b,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),c1c5d70cd44d43
706404bceae94f,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),354d8a45037144
6c5ea79c00014b,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),04efe1f6ec0546
893b0777b9544c,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),9fd85f477a5a4a
388cf8eb9e3040,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),2af99517aa9f45
