idInforme,categoriaInforme,nombreTrabajo,idArea
b61aac60ec514b,OPERATIVE UNIONIZED,PLANEACION Y ESTUDIOS TYD,d689c2ca797d4b
93f3a0cca2ed4a,OPERATIVE UNIONIZED,PROYECTOS TYD,3e1497f1ef324a
710fa2295bea4b,ADMINISTRATIVE,OPERACION MERCADO MAYORISTA,1e6b9de87c7b44
78a58671c0c34a,OPERATIVE UNIONIZED,EQUIPOS DE FLEXIBILIDAD RED DISTRIBUCION,5d07bb83108843
91ebb201023147,OPERATIVE,PROYECTOS TYD,3e1497f1ef324a
7d3708ead7c44f,OPERATIVE,DISEÑO ELECTROMECANICO LINEAS,a18a4eb3624d4d
fc76eb96ff1f4e,ADMINISTRATIVE,LIDER OPERACION Y MANTENIMIENTO DE LA MEDIDA,8e8ad1dfa0134b
04fdb979720d4b,OPERATIVE,DISEÑO ELECTROMECANICO SUBESTACIONES,a18a4eb3624d4d
0f2ae8230cf642,OPERATIVE UNIONIZED,PROGRAMACION MANTENIMIENTO,839dc950f12042
c1f181a50e414f,ADMINISTRATIVE UNIONIZED,PROGRAMACION MEDIDA,8e8ad1dfa0134b
1ad0bdce031a45,ADMINISTRATIVE,DEVOPS I,81b6778de4e74b
58f18939348044,OPERATIVE UNIONIZED,SUBESTACIONES,de3bb28351734d
efaa64ba50344f,OPERATIVE,INFRAESTRUCTURA FISICA II,f8cadc9272944e
726af9ffdcd646,ADMINISTRATIVE UNIONIZED,MERCADEO,98b34496a41a4a
96a14d4e841f40,OPERATIVE UNIONIZED,LIDER SUBESTACIONES,08a1d62c7ac44f
d4aaf772ccf045,ADMINISTRATIVE,ANALISIS CONTABLE II,f40fb661e49a4e
72e628721b9a4f,ADMINISTRATIVE,ASESORIA COMERCIAL,6657b8b7339d47
bce7f50bc97d49,ADMINISTRATIVE,PLANEACION FINANCIERA,7799335696b744
7e66a0d7dce342,ADMINISTRATIVE UNIONIZED,FINANZAS DE PRODUCTO I,7799335696b744
a34e0aa12eb746,OPERATIVE,CONTROL PROGRAMACION Y PRESUPUESTO,3e75beba411c42
89da1b9a7c8c4a,ADMINISTRATIVE UNIONIZED,ASUNTOS LEGALES DE NEGOCIO JUNIOR,252c950e21f241
1b9c2121865341,ADMINISTRATIVE UNIONIZED,NEGOCIACION,54c8a5b9586a46
cce0948b9d394e,OPERATIVE,INFORMACION TECNICA,2aca1654a48b49
1dbe789a49874f,ADMINISTRATIVE UNIONIZED,DEVOPS I,81b6778de4e74b
75b359b92b564b,OPERATIVE,SUPERVISION MANTENIMIENTO SUBESTACIONES TYD,08a1d62c7ac44f
ac38b8add00047,OPERATIVE,LIDER MEDIDA Y CONFIABILIDAD,e0904c49ab3e43
d63e14bd8d7141,ADMINISTRATIVE UNIONIZED,ASUNTOS LEGALES DE NEGOCIO,252c950e21f241
762769c4579c45,ADMINISTRATIVE,OPERACION MOVIL,cfcd6e2df57046
ff8a441321374f,ADMINISTRATIVE,GESTION MACROMEDICIONES,78e0cd97703942
80c91e7847ae40,OPERATIVE,SOCIAL TYD,d54d57876a8c4b
40b257cd714949,ADMINISTRATIVE,ASUNTOS LEGALES DE NEGOCIO JUNIOR,252c950e21f241
464eb1fde2ff4c,OPERATIVE UNIONIZED,INFORMACION TECNICA,2aca1654a48b49
da8269379fa444,ADMINISTRATIVE,COBRO Y RECAUDO I,d1167c9af1c844
f2bcc347d70b4f,ADMINISTRATIVE UNIONIZED,ASUNTOS LEGALES CORPORATIVOS,0077b674c93b44
97cc677b50744f,OPERATIVE,MERCADEO,98b34496a41a4a
69f4e897db1f44,ADMINISTRATIVE,ASUNTOS LEGALES CORPORATIVOS JUNIOR,0077b674c93b44
dfd12c641a704f,ADMINISTRATIVE,ASUNTOS LABORALES II,bcd888617e8848
108d7a1b0e6b4d,ADMINISTRATIVE,MEDIDA CENTRALIZADA,c256858d0cf24d
43007c9214a946,ADMINISTRATIVE UNIONIZED,ANALISIS CONTABLE I,f40fb661e49a4e
5457fae90f8246,ADMINISTRATIVE,LOGISTICA DE OPERACION,9c9c5357b16047
82105b79529545,OPERATIVE,ALMACENISTA,f1a51342f5094c
ff2eb63c917c4d,ADMINISTRATIVE,SISTEMAS FOTOVOLTAICOS,28635cd84b2748
97f505cbd78442,OPERATIVE UNIONIZED,GESTION PROYECTOS TYD I,3e1497f1ef324a
2428ebb2d85445,ADMINISTRATIVE,ANALISIS MEDIDA,e0904c49ab3e43
f875375e9d6847,ADMINISTRATIVE UNIONIZED,ASESORIA COMERCIAL,6657b8b7339d47
60e5b7a610b849,OPERATIVE UNIONIZED,PROGRAMACION MANTENIMIENTO,faa5d952245f45
7445b3372eff40,ADMINISTRATIVE UNIONIZED,SUPERVISION MEDIDA,b98a87a75fe245
e9429d66005340,ADMINISTRATIVE,COSTOS,7799335696b744
95e9803f51c745,ADMINISTRATIVE UNIONIZED,AUDITORIA,4d02218f5c7143
ed2af5db89fe47,OPERATIVE UNIONIZED,ANALISIS Y OPERACION TIEMPO REAL,36b5f879bc1147
7b33df7235f84e,ADMINISTRATIVE UNIONIZED,LIDER PROYECTOS PARTICULARES,08cbbfa5da854b
82c6d12bd53245,ADMINISTRATIVE UNIONIZED,ANALISIS MEDIDA,e0904c49ab3e43
5e89308fda8140,ADMINISTRATIVE,LIDER DE CATEGORIA,7865e8fb6bad4c
2b471eecb3c448,ADMINISTRATIVE,ESTRUCTURACION PROYECTOS INNOVACION,f7ec2211712a4c
2872b22a74ce45,ADMINISTRATIVE,SOLUCIONES A COLABORADORES,bc0d131d6b404a
afbf17c3f14941,OPERATIVE UNIONIZED,LIDER MANTENIMIENTO ELECTRICO TERMICAS,987ec61e56db48
b0b8724f03544b,OPERATIVE UNIONIZED,OPERACION Y MANTENIMIENTO CENTRALES GENERACION,521a9995a0de40
4240c787df6847,ADMINISTRATIVE,DESARROLLO COMERCIAL PORTAFOLIO,bac577074e5940
5364952f0ce44a,ADMINISTRATIVE,DESARROLLO DE MERCADOS II,286c55274f4043
0c41aeee4ac046,ADMINISTRATIVE,MERCADEO POSICIONAMIENTO,98b34496a41a4a
275861930d3149,ADMINISTRATIVE,COMUNICACIONES INTERNAS,4822a4d900a34c
281619116af546,ADMINISTRATIVE,GESTION FINANZAS CORPORATIVAS I,232589afdb6e4d
7aa8d3ba50604f,ADMINISTRATIVE,PROGRAMACION PROYECTOS GENERACION,d622187445b446
c6ad6600935b40,OPERATIVE,PRESIDENCIA Y SOSTENIBILIDAD II,e5ab9c5620bf47
f9d1c775cbda4c,ADMINISTRATIVE,GESTION SST Y PROYECTOS,0074dc45388f40
62802b2fc9434b,ADMINISTRATIVE,AUTOMATIZACION Y ROBOTICA,3025746acf3c4c
da3fccc81ff543,ADMINISTRATIVE,DESARROLLO BACK-END II,8147b80a0df142
be673c9eed2742,ADMINISTRATIVE,CONTROL PROYECTOS GENERACION,f653ce2a44a74c
ab780c355fa644,ADMINISTRATIVE,GESTION CONTENIDO CANAL DIGITAL,9889d5613dd741
23818d27eb9e4f,ADMINISTRATIVE,DISEÑO FORMACION,b36dde6d075347
405634f542cf43,ADMINISTRATIVE,ASESORIA COMERCIAL,755c71126c9540
254d05b255ae43,ADMINISTRATIVE,INGENIERIA AUXILIAR OBRAS CIVILES PROYECTOS GENERACION,60a7d7690e9245
401ebcbde95543,OPERATIVE,ANALISIS SERVICIOS PARA CLIENTES MUVERANG,54f277174c9840
b701b84fc11f43,ADMINISTRATIVE,DISEÑO EXPERIENCIA DE COLABORADORES,8891cd745e7b4b
1ca21857b2c84b,ADMINISTRATIVE,PROYECTOS OBRAS POR IMPUESTOS EDUCACION,340af5d3a19f40
51d3d4bc483f47,ADMINISTRATIVE,MERCADEO,98b34496a41a4a
b8902a1088f04d,APPRENTICE IN PRODUCTIVE PERIOD,APRENDIZ SENA,fd167603fd934f
9769022c45b347,ADMINISTRATIVE,COMERCIAL CUENTAS CLAVES,755c71126c9540
96e985ecf3d147,ADMINISTRATIVE,GESTION PRODUCTO MOVILIDAD ELECTRICA,772cbcad313b4d
8ab8ad20e6a943,ADMINISTRATIVE,MANTENIMIENTO MECANICO TERMICAS,fb34387c6c5a4e
41316405ee6b4d,ADMINISTRATIVE,LIDER PLANEACION FISCAL,a7d0acf3521343
da3692b4692e41,ADMINISTRATIVE,FACTIBILIDAD SOCIAL PROYECTOS GENERACION,a9e90c605ef443
07df746c638040,ADMINISTRATIVE,PASANTE ACADEMICO,3e1dc486950b46
200d9a707e6840,ADMIN. SENIOR DIRECTORATE,LIDER ASUNTOS REGULATORIOS,a9d03de868844a
5fafa71de3b249,ADMINISTRATIVE,ANALISIS SERVICIOS PARA CLIENTES MUVERANG,54f277174c9840
f4c44079058343,ADMINISTRATIVE,LIDER EJECUCION Y OPERACION PROYECTOS EFICIENCIA ENERGETICA,3cd485e7eb6b4d
f64e3ce8bba340,ADMINISTRATIVE,PROYECTOS DISTRITOS TERMICOS Y COGENERACION,b72c82df32fb45
f950f258c3d04d,ADMINISTRATIVE,COMUNICACIONES Y PROYECTOS FUNDACION,340af5d3a19f40
b39fbc5cdda745,ADMINISTRATIVE,OPERACION MERCADEO MUVERANG,54f277174c9840
cb6363702a8845,ADMINISTRATIVE,LIDER DIGITALIZACION EFICIENCIA ENERGETICA,89df1343c79543
18836046ec8043,ADMINISTRATIVE,MERCADEO RELACIONAMIENTO B2B,98b34496a41a4a
9e62143f3a1d49,ADMINISTRATIVE,CIVIL PROYECTOS FOTOVOLTAICOS,b2301a8c9a0f4d
6f829ad337fb49,ADMINISTRATIVE,ANALITICA TALENTO HUMANO,7efeee8cb8884e
1fd346ac89cd44,ADMIN. SENIOR DIRECTORATE,LIDER CRECIMIENTO Y EXPERIENCIA ENERBIT,93726479736a48
b038262fe76a40,APPRENTICE IN PRODUCTIVE PERIOD,APRENDIZ SENA,51c3872dd5e448
d2a00bc39a3444,ADMINISTRATIVE,PROYECTOS FUNDACION EDUCACION,340af5d3a19f40
256ee57a4e5545,ADMINISTRATIVE,ASUNTOS LEGALES DE NEGOCIO,252c950e21f241
0425a4d15d6045,ADMINISTRATIVE,GESTION FINANZAS CORPORATIVAS II,232589afdb6e4d
ea72cf6b267341,APPRENTICE IN PRODUCTIVE PERIOD,APRENDIZ SENA,f46328f616ce47
7174d524b9c14c,ADMINISTRATIVE,LIDER ANALITICA,666de69adbd940
fb6809b86f9e4c,ADMINISTRATIVE,LIDER SOSTENIBILIDAD,e5ab9c5620bf47
415a5af1cbb343,APPRENTICE IN PRODUCTIVE PERIOD,ESTUDIANTE EN PRACTICA,0077b674c93b44
d54d1c4444d34a,OPERATIVE,EXPERIENCIAS DE SERVICIO,65a6e25447d94c
30d41eac419941,OPERATIVE,EXPERIENCIAS DE SERVICIO,a90942558d2549
d03a9667e85a45,PRACTICUM STUDENTS,ESTUDIANTE EN PRACTICA,f7ec2211712a4c
6e6cc3969b314a,PRACTICUM STUDENTS,ESTUDIANTE EN PRACTICA,232589afdb6e4d
29c8ff26387e4a,ADMINISTRATIVE,AMBIENTAL CENTRALES HIDRAULICAS,78f273a7a94f41
800189a491de4e,ADMINISTRATIVE UNIONIZED,GESTION OPERATIVA NEGOCIACION,54c8a5b9586a46
6c0a54f075d14b,ADMINISTRATIVE UNIONIZED,DEVOPS I,004853c963264b
c8213466e44c4d,ADMINISTRATIVE UNIONIZED,LIDER SERVICIO POSVENTA CLIENTES B2B,44fcf72ed2e847
4e84775945084d,ADMINISTRATIVE UNIONIZED,COBRO Y RECAUDO I,d1167c9af1c844
5016a6ff0dc243,ADMINISTRATIVE,INFORMACION TECNICA,2aca1654a48b49
86084961d28140,OPERATIVE UNIONIZED,GESTION MEDIDA,8e8ad1dfa0134b
f7eb7e42f28e4e,OPERATIVE UNIONIZED,LIDER LINEAS Y REDES,4b2b213dbc8047
933a96d1661f41,ADMINISTRATIVE,LIDER CONSTRUCCION PROYECTOS SOCIALES,e5a8c4667abc49
f11c091cd48947,ADMINISTRATIVE,MERCADEO MOVILIDAD ELECTRICA,54f277174c9840
45136e7cc64d4d,ADMINISTRATIVE,AMBIENTAL PROYECTOS GENERACION,a9e90c605ef443
b16e15f2bc194a,ADMINISTRATIVE,MANTENIMIENTO INSTRUMENTACION Y CONTROL TERMICAS,a9e308d57a8145
2418bc7f124842,ADMINISTRATIVE,CIENTIFICO DE DATOS III,89df1343c79543
768974d6fd1041,ADMINISTRATIVE UNIONIZED,ASESORIA COMERCIAL POSVENTA,44fcf72ed2e847
b0ca979a14dc45,OPERATIVE UNIONIZED,GESTION OPERATIVA CONTRATOS,7056d13aa0b74b
38d8df17e66843,ADMINISTRATIVE,ASEGURAMIENTO CICLO COMERCIAL,8e8ad1dfa0134b
f336a601297849,ADMINISTRATIVE UNIONIZED,ASEGURAMIENTO CICLO COMERCIAL,8e8ad1dfa0134b
9f558878b4764a,ADMINISTRATIVE UNIONIZED,LIDER COBRO Y RECAUDO,d1167c9af1c844
392c81acb2d740,ADMINISTRATIVE UNIONIZED,LIDER EXPERIENCIAS DE SERVICIO ZONA,65a6e25447d94c
8c5ee3c95bd743,ADMINISTRATIVE UNIONIZED,OPERACION MOVIL,7e14712ff68d49
4ea24aa3ba8348,OPERATIVE UNIONIZED,SUPERVISION MEDIDA,8e8ad1dfa0134b
3bafcd350c6145,OPERATIVE UNIONIZED,INFRAESTRUCTURA FISICA I,f8cadc9272944e
c3a1d0be303a49,ADMINISTRATIVE UNIONIZED,FACTURACION,59b074eb167d4f
eb3d46c79b1746,OPERATIVE UNIONIZED,SUPERVISION MANTENIMIENTO TYD,4b2b213dbc8047
4ed8f120a3ba4b,ADMINISTRATIVE,SUPERVISION MANTENIMIENTO TYD,4b2b213dbc8047
b38622158b824f,OPERATIVE UNIONIZED,SUPERVISION MANTENIMIENTO TYD,051b0c9142934e
53cc26cdb42143,ADMINISTRATIVE,FACTURACION,59b074eb167d4f
1f6ff12ee61247,ADMINISTRATIVE UNIONIZED,GESTION DEL EFECTIVO Y OPERACIONES,dd65cd39ea0b4b
e3e476ae7cae48,ADMINISTRATIVE UNIONIZED,COBRO Y RECAUDO II,d1167c9af1c844
98d84daea4fb40,ADMINISTRATIVE,AMBIENTAL TYD,d54d57876a8c4b
361385c4733a40,ADMINISTRATIVE UNIONIZED,LIDER RIESGOS Y SISTEMA GESTION DE ACTIVOS,555c9098289f4e
4dad19724f074e,ADMINISTRATIVE,RELACIONAMIENTO SERVICIOS ADMINISTRATIVOS,f8cadc9272944e
a0ca21be82f346,ADMINISTRATIVE,ASEGURAMIENTO CICLO COMERCIAL,b98a87a75fe245
32abd611864942,ADMINISTRATIVE UNIONIZED,PRESUPUESTO E INFORMACION TYD,8af7b81e1d6148
63f88374e3454f,ADMINISTRATIVE UNIONIZED,GESTION DE IRREGULARIDADES,78e0cd97703942
e5e60ecfbfaa48,ADMINISTRATIVE UNIONIZED,SISTEMA GESTION DE ACTIVOS,555c9098289f4e
90a3f37cf54746,ADMINISTRATIVE UNIONIZED,LIDER DE EXPERIENCIA ENERBIT,5670eee6310743
b9e4bf9527ad4b,ADMINISTRATIVE UNIONIZED,ANALISIS Y OPERACION TIEMPO REAL,36b5f879bc1147
11dface0aa154e,OPERATIVE UNIONIZED,SUPERVISION MEDIDA,b98a87a75fe245
6f5300cd737c4e,ADMINISTRATIVE UNIONIZED,SUPERVISION MEDIDA,8e8ad1dfa0134b
545fa66f78cb48,ADMINISTRATIVE UNIONIZED,ANALISIS OPERACION,85344ef356d346
d4626d09eaf842,OPERATIVE UNIONIZED,ALMACENISTA,f1a51342f5094c
fed9c001dac14a,ADMINISTRATIVE,EVALUACION INTEGRAL DEL NEGOCIO,8af7b81e1d6148
9ae0faf483c245,ADMINISTRATIVE,SUPERVISION MEDIDA,b98a87a75fe245
590f9337440444,OPERATIVE,SUPERVISION MEDIDA,8e8ad1dfa0134b
ed43076e9fbe43,ADMINISTRATIVE UNIONIZED,INFORMACION TECNICA,2aca1654a48b49
30651689cf234c,ADMINISTRATIVE,LIDER NEGOCIO REGULADO,5506f40b83134c
a0ca5e297cfc41,ADMINISTRATIVE UNIONIZED,TRANSACCIONES DE ENERGIA,72da4152ec2742
